date,evap,prcp,snow,snwd,tmax,tmin,tobs
2021-01-01,,0.0,0.0,0,33,25,26
2021-01-02,,0.47,0.0,0,40,24,40
2021-01-03,,0.0,0.0,0,42,27,27
2021-01-04,,0.14,1.4,1,35,27,32
2021-01-05,,0.0,0.0,1,33,30,30
2021-01-06,,0.0,0.0,1,33,28,29
2021-01-07,,0.0,0.0,1,31,26,26
2021-01-08,,0.0,0.0,0,28,23,23
2021-01-09,,0.0,0.0,0,23,14,15
2021-01-10,,0.0,0.0,0,32,15,23
2021-01-11,,0.0,0.0,0,33,19,24
2021-01-12,,0.0,0.0,0,36,24,30
2021-01-13,,0.0,0.0,0,32,28,29
2021-01-14,,0.0,0.0,0,35,29,33
2021-01-15,,0.0,0.0,0,39,31,32
2021-01-16,,0.45,0.5,1,41,31,32
2021-01-17,,0.0,0.0,0,35,31,32
2021-01-18,,0.04,0.7,1,38,28,31
2021-01-19,,0.04,0.5,1,31,26,29
2021-01-20,,0.08,0.8,2,34,24,25
2021-01-21,,0.01,0.2,1,25,16,23
2021-01-22,,0.05,0.7,2,34,23,28
2021-01-23,,0.02,0.2,1,34,18,18
2021-01-24,,0.03,0.4,1,19,13,13
2021-01-25,,0.0,0.0,1,20,2,2
2021-01-26,,0.0,0.0,1,30,2,26
2021-01-27,,0.26,1.5,2,32,24,25
2021-01-28,,0.1,4.0,6,25,16,16
2021-01-29,,0.08,1.0,5,18,6,8
2021-01-30,,0.07,3.0,8,14,8,12
2021-01-31,,0.0,0.0,6,22,-3,6
2021-02-01,,0.15,2.5,7,25,6,20
2021-02-02,,0.64,8.5,15,26,17,20
2021-02-03,,0.6,11.5,24,27,20,27
2021-02-04,,0.05,0.6,22,27,23,25
2021-02-05,,0.05,0.5,17,38,17,33
2021-02-06,,0.0,0.0,14,42,25,25
2021-02-07,,0.0,0.0,13,31,2,12
2021-02-08,,0.0,0.0,12,30,-8,-6
2021-02-09,,0.0,0.0,12,24,-6,20
2021-02-10,,0.03,0.5,13,27,13,15
2021-02-11,,0.03,2.2,14,24,14,15
2021-02-12,,0.0,0.0,13,24,-4,4
2021-02-13,,0.0,0.0,12,16,2,4
2021-02-14,,0.0,0.0,11,24,4,23
2021-02-15,,0.0,0.0,10,24,15,20
2021-02-16,,0.55,2.5,13,34,20,34
2021-02-17,,0.01,0.2,12,39,10,10
2021-02-18,,0.01,0.3,12,23,10,16
2021-02-19,,0.08,1.8,14,23,16,21
2021-02-20,,0.07,2.5,15,30,20,20
2021-02-21,,0.07,1.8,16,26,9,9
2021-02-22,,0.0,0.1,14,32,8,24
2021-02-23,,0.06,0.6,15,33,22,27
2021-02-24,,0.03,0.4,13,38,25,28
2021-02-25,,0.0,0.0,9,52,28,29
2021-02-26,,0.0,0.0,8,35,14,21
2021-02-27,,0.0,0.0,8,40,20,34
2021-02-28,,0.0,0.0,7,49,24,25
2021-03-01,,0.04,0.0,3,40,25,38
2021-03-02,,0.05,0.7,3,38,11,11
2021-03-03,,0.0,0.0,2,25,11,18
2021-03-04,,0.02,0.2,2,41,18,27
2021-03-05,,0.0,0.0,1,27,15,16
2021-03-06,,0.02,0.5,2,29,16,16
2021-03-07,,0.03,0.5,1,24,16,19
2021-03-08,,0.0,0.0,1,28,4,5
2021-03-09,,0.0,0.0,1,43,5,36
2021-03-10,,0.0,0.0,0,48,24,38
2021-03-11,,0.0,0.0,0,61,38,48
2021-03-12,,0.0,0.0,0,68,34,38
2021-03-13,,0.0,0.0,0,55,23,24
2021-03-14,,0.0,0.0,0,41,24,34
2021-03-15,,0.04,0.0,0,36,14,14
2021-03-16,,0.0,0.0,0,26,14,22
2021-03-17,,0.0,0.0,0,37,22,32
2021-03-18,,0.0,0.0,0,52,32,37
2021-03-19,,0.5,0.0,0,41,20,20
2021-03-20,,0.0,0.0,0,33,17,17
2021-03-21,,0.0,0.0,0,52,17,24
2021-03-22,,0.0,0.0,0,62,24,33
2021-03-23,,0.0,0.0,0,65,29,29
2021-03-24,,0.01,0.0,0,65,29,48
2021-03-25,,0.12,0.0,0,56,47,51
2021-03-26,,0.04,0.0,0,73,51,59
2021-03-27,,0.0,0.0,0,68,37,37
2021-03-28,,0.0,0.0,0,56,36,52
2021-03-29,,0.32,0.0,0,58,32,33
2021-03-30,,0.0,0.0,0,44,26,36
2021-03-31,,0.0,0.0,0,66,36,51
2021-04-01,,0.32,3.0,3,55,29,30
2021-04-02,,0.14,0.8,2,34,19,22
2021-04-03,,0.0,0.0,0,33,15,16
2021-04-04,,0.0,0.0,0,49,16,36
2021-04-05,,0.0,0.0,0,54,26,37
2021-04-06,,0.0,0.0,0,55,24,27
2021-04-07,,0.0,0.0,0,59,27,45
2021-04-08,,0.0,0.0,0,68,36,50
2021-04-09,,0.0,0.0,0,74,50,52
2021-04-10,,0.0,0.0,0,63,52,53
2021-04-11,,0.0,0.0,0,75,53,57
2021-04-12,,0.28,0.0,0,60,47,47
2021-04-13,,0.25,0.0,0,47,38,42
2021-04-14,,0.01,0.0,0,63,38,41
2021-04-15,,0.0,0.0,0,66,41,44
2021-04-16,,0.28,0.0,0,46,34,34
2021-04-17,,0.56,0.0,0,40,32,38
2021-04-18,,0.04,0.0,0,48,36,38
2021-04-19,,0.04,0.0,0,56,37,40
2021-04-20,,0.03,0.0,0,60,39,44
2021-04-21,,0.24,0.0,0,45,33,33
2021-04-22,,0.16,0.0,0,33,26,26
2021-04-23,,0.01,0.3,0,39,23,32
2021-04-24,,0.0,0.0,0,59,32,41
2021-04-25,,0.11,0.0,0,65,40,45
2021-04-26,,0.0,0.0,0,56,31,32
2021-04-27,,0.04,0.0,0,47,30,36
2021-04-28,,0.0,0.0,0,72,36,49
2021-04-29,,0.03,0.0,0,78,48,49
2021-04-30,,1.34,0.0,0,55,47,48
2021-05-01,0.08,0.04,0.0,0,54,33,34
2021-05-02,0.24,0.01,0.0,0,60,34,56
2021-05-03,0.11,0.01,0.0,0,68,44,48
2021-05-04,0.05,0.24,0.0,0,63,48,55
2021-05-05,0.1,0.2,0.0,0,76,52,52
2021-05-06,0.07,0.1,0.0,0,52,40,41
2021-05-07,0.16,0.0,0.0,0,54,30,35
2021-05-08,0.07,0.88,0.0,0,53,34,36
2021-05-09,0.11,0.02,0.0,0,51,32,36
2021-05-10,0.04,0.62,0.0,0,54,36,41
2021-05-11,0.1,0.01,0.0,0,55,31,38
2021-05-12,0.19,0.0,0.0,0,52,36,42
2021-05-13,0.2,0.0,0.0,0,61,32,38
